assetId,folder,ownerSide,ownerType,level,scenario,displayName,description,engageEnemiesWeight,unityCompatibility,generatorNote
ally_behaviour_military_L04_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,4,EnemyInvasion,Ally Military L04 EnemyInvasion,Military L04: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L04_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,4,EnemySystemInvasion,Ally Military L04 EnemySystemInvasion,Military L04: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L05_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,5,Normal,Ally Military L05 Normal,Military L05: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L05_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,5,EnemyInvasion,Ally Military L05 EnemyInvasion,Military L05: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L05_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,5,EnemySystemInvasion,Ally Military L05 EnemySystemInvasion,Military L05: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L06_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,6,Normal,Ally Military L06 Normal,Military L06: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L06_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,6,EnemyInvasion,Ally Military L06 EnemyInvasion,Military L06: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L06_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,6,EnemySystemInvasion,Ally Military L06 EnemySystemInvasion,Military L06: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L07_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,7,Normal,Ally Military L07 Normal,Military L07: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L07_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,7,EnemyInvasion,Ally Military L07 EnemyInvasion,Military L07: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L07_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,7,EnemySystemInvasion,Ally Military L07 EnemySystemInvasion,Military L07: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L08_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,8,Normal,Ally Military L08 Normal,Military L08: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L08_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,8,EnemyInvasion,Ally Military L08 EnemyInvasion,Military L08: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L08_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,8,EnemySystemInvasion,Ally Military L08 EnemySystemInvasion,Military L08: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L09_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,9,Normal,Ally Military L09 Normal,Military L09: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L09_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,9,EnemyInvasion,Ally Military L09 EnemyInvasion,Military L09: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L09_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,9,EnemySystemInvasion,Ally Military L09 EnemySystemInvasion,Military L09: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L10_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,10,Normal,Ally Military L10 Normal,Military L10: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L10_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,10,EnemyInvasion,Ally Military L10 EnemyInvasion,Military L10: враги атакуют нашу систему.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_military_L10_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Military,Ally,Military,10,EnemySystemInvasion,Ally Military L10 EnemySystemInvasion,Military L10: мы атакуем систему врагов.,100,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L01_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,1,Normal,Ally Ranger L01 Normal,Ranger L01: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L01_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,1,EnemyInvasion,Ally Ranger L01 EnemyInvasion,Ranger L01: враги атакуют нашу систему.,55,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L01_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,1,EnemySystemInvasion,Ally Ranger L01 EnemySystemInvasion,Ranger L01: мы атакуем систему врагов.,65,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L02_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,2,Normal,Ally Ranger L02 Normal,Ranger L02: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L02_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,2,EnemyInvasion,Ally Ranger L02 EnemyInvasion,Ranger L02: враги атакуют нашу систему.,55,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L02_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,2,EnemySystemInvasion,Ally Ranger L02 EnemySystemInvasion,Ranger L02: мы атакуем систему врагов.,65,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L03_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,3,Normal,Ally Ranger L03 Normal,Ranger L03: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L03_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,3,EnemyInvasion,Ally Ranger L03 EnemyInvasion,Ranger L03: враги атакуют нашу систему.,56,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L03_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,3,EnemySystemInvasion,Ally Ranger L03 EnemySystemInvasion,Ranger L03: мы атакуем систему врагов.,66,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L04_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,4,Normal,Ally Ranger L04 Normal,Ranger L04: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L04_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,4,EnemyInvasion,Ally Ranger L04 EnemyInvasion,Ranger L04: враги атакуют нашу систему.,56,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L04_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,4,EnemySystemInvasion,Ally Ranger L04 EnemySystemInvasion,Ranger L04: мы атакуем систему врагов.,66,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L05_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,5,Normal,Ally Ranger L05 Normal,Ranger L05: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L05_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,5,EnemyInvasion,Ally Ranger L05 EnemyInvasion,Ranger L05: враги атакуют нашу систему.,57,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L05_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,5,EnemySystemInvasion,Ally Ranger L05 EnemySystemInvasion,Ranger L05: мы атакуем систему врагов.,67,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L06_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,6,Normal,Ally Ranger L06 Normal,Ranger L06: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L06_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,6,EnemyInvasion,Ally Ranger L06 EnemyInvasion,Ranger L06: враги атакуют нашу систему.,57,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L06_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,6,EnemySystemInvasion,Ally Ranger L06 EnemySystemInvasion,Ranger L06: мы атакуем систему врагов.,67,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L07_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,7,Normal,Ally Ranger L07 Normal,Ranger L07: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L07_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,7,EnemyInvasion,Ally Ranger L07 EnemyInvasion,Ranger L07: враги атакуют нашу систему.,58,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L07_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,7,EnemySystemInvasion,Ally Ranger L07 EnemySystemInvasion,Ranger L07: мы атакуем систему врагов.,68,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L08_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,8,Normal,Ally Ranger L08 Normal,Ranger L08: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L08_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,8,EnemyInvasion,Ally Ranger L08 EnemyInvasion,Ranger L08: враги атакуют нашу систему.,58,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L08_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,8,EnemySystemInvasion,Ally Ranger L08 EnemySystemInvasion,Ranger L08: мы атакуем систему врагов.,68,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L09_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,9,Normal,Ally Ranger L09 Normal,Ranger L09: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L09_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,9,EnemyInvasion,Ally Ranger L09 EnemyInvasion,Ranger L09: враги атакуют нашу систему.,59,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L09_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,9,EnemySystemInvasion,Ally Ranger L09 EnemySystemInvasion,Ranger L09: мы атакуем систему врагов.,69,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L10_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,10,Normal,Ally Ranger L10 Normal,Ranger L10: обычное состояние.,0,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L10_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,10,EnemyInvasion,Ally Ranger L10 EnemyInvasion,Ranger L10: враги атакуют нашу систему.,59,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_ranger_L10_enemy_system_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Ranger,Ally,Ranger,10,EnemySystemInvasion,Ally Ranger L10 EnemySystemInvasion,Ranger L10: мы атакуем систему врагов.,69,FutureEnumRequired,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L01_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,1,Normal,Ally Trader L01 Normal,Trader L01: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L01_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,1,EnemyInvasion,Ally Trader L01 EnemyInvasion,Trader L01: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L02_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,2,Normal,Ally Trader L02 Normal,Trader L02: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L02_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,2,EnemyInvasion,Ally Trader L02 EnemyInvasion,Trader L02: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L03_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,3,Normal,Ally Trader L03 Normal,Trader L03: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L03_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,3,EnemyInvasion,Ally Trader L03 EnemyInvasion,Trader L03: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L04_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,4,Normal,Ally Trader L04 Normal,Trader L04: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L04_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,4,EnemyInvasion,Ally Trader L04 EnemyInvasion,Trader L04: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L05_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,5,Normal,Ally Trader L05 Normal,Trader L05: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L05_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,5,EnemyInvasion,Ally Trader L05 EnemyInvasion,Trader L05: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L06_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,6,Normal,Ally Trader L06 Normal,Trader L06: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L06_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,6,EnemyInvasion,Ally Trader L06 EnemyInvasion,Trader L06: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L07_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,7,Normal,Ally Trader L07 Normal,Trader L07: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L07_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,7,EnemyInvasion,Ally Trader L07 EnemyInvasion,Trader L07: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L08_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,8,Normal,Ally Trader L08 Normal,Trader L08: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L08_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,8,EnemyInvasion,Ally Trader L08 EnemyInvasion,Trader L08: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L09_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,9,Normal,Ally Trader L09 Normal,Trader L09: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L09_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,9,EnemyInvasion,Ally Trader L09 EnemyInvasion,Trader L09: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L10_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,10,Normal,Ally Trader L10 Normal,Trader L10: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_trader_L10_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Trader,Ally,Trader,10,EnemyInvasion,Ally Trader L10 EnemyInvasion,Trader L10: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L01_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,1,Normal,Ally Science L01 Normal,Science L01: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L01_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,1,EnemyInvasion,Ally Science L01 EnemyInvasion,Science L01: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L02_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,2,Normal,Ally Science L02 Normal,Science L02: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L02_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,2,EnemyInvasion,Ally Science L02 EnemyInvasion,Science L02: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L03_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,3,Normal,Ally Science L03 Normal,Science L03: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L03_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,3,EnemyInvasion,Ally Science L03 EnemyInvasion,Science L03: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L04_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,4,Normal,Ally Science L04 Normal,Science L04: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L04_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,4,EnemyInvasion,Ally Science L04 EnemyInvasion,Science L04: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L05_normal,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,5,Normal,Ally Science L05 Normal,Science L05: обычное состояние.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
ally_behaviour_science_L05_enemy_invasion,Assets/_Project/Content/Configs/Population/NpcBehaviourScenarios/Ally/Science,Ally,Science,5,EnemyInvasion,Ally Science L05 EnemyInvasion,Science L05: враги атакуют нашу систему.,0,CurrentUnityCompatible,One AssetConfig row maps to one NpcBehaviourScenarioConfig asset.
